emp_title,emp_length,home_ownership,annual_inc,verification_status,addr_state,avg_cur_bal,Tot_cur_bal,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,pymnt_plan,type,purpose,description
Registered nurse case manager,8 years,OWN,72392,Verified,PA,14276,128482,Fully Paid,8875,PA,8875, 36 months,0.1229,296.01001,C,false,Individual,debt_consolidation,Debt consolidation
undererwriting manager,10+ years,RENT,95000,Not Verified,TX,2621,23585,Current,40000,TX,40000, 60 months,0.1502,952.02002,C,false,Individual,debt_consolidation,Debt consolidation
Staff Development Coordinator RN,1 year,RENT,60000,Source Verified,WI,4995,44951,Current,14000,WI,14000, 60 months,0.1824,357.34,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
MCO Regulatory Officer,3 years,OWN,61000,Source Verified,TN,10890,108898,Fully Paid,12000,TN,12000, 36 months,0.0799,375.98999,A,false,Individual,debt_consolidation,Debt consolidation
slot attendant ,4 years,MORTGAGE,49000,Source Verified,PA,4626,37007,Charged Off,14400,PA,14400, 60 months,0.1999,381.44,E,false,Individual,debt_consolidation,Debt consolidation
clerk,5 years,RENT,60000,Not Verified,NY,1382,27631,Current,15000,NY,15000, 60 months,0.1709,373.51999,D,false,Individual,other,Other
Assistant Super,10+ years,OWN,78000,Not Verified,NY,9711,58268,Fully Paid,25000,NY,25000, 60 months,0.1894,647.69,D,false,Individual,debt_consolidation,Debt consolidation
Financial Advisor,3 years,MORTGAGE,225000,Source Verified,TX,60902,730820,Fully Paid,25000,TX,25000, 36 months,0.0692,771.02002,A,false,Individual,debt_consolidation,Debt consolidation
Assistant Tasting Room Manager,< 1 year,RENT,75000,Not Verified,TX,6257,112624,Current,5000,TX,5000, 36 months,0.0532,150.58,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
RDA,10+ years,RENT,70000,Source Verified,CA,2308,32312,Current,9600,CA,9600, 36 months,0.1155,316.79999,B,false,Individual,debt_consolidation,Debt consolidation
Sales Manager,4 years,RENT,275000,Source Verified,CA,4609,50699,Fully Paid,21600,CA,21600, 36 months,0.1149,712.17999,B,false,Individual,debt_consolidation,Debt consolidation
Dietary Manager,1 year,RENT,51000,Not Verified,NC,1103,20955,Current,4800,NC,4800, 36 months,0.1091,156.95,B,false,Individual,major_purchase,Major purchase
Grants Coordinator II,8 years,MORTGAGE,44000,Verified,SC,18752,150012,Current,15825,SC,15825, 60 months,0.2148,432.41,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Supervisor,10+ years,MORTGAGE,102400,Verified,NM,22657,226571,Current,31725,NM,31725, 36 months,0.1825,1150.92,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Pharmaceutical ,4 years,OWN,125000,Not Verified,IN,19736,118416,Current,22500,IN,22500, 36 months,0.1308,758.98999,B,false,Joint App,moving,Moving and relocation
Program Manager,10+ years,MORTGAGE,132000,Not Verified,CO,28306,339671,Current,32000,CO,32000, 36 months,0.0756,996.28998,A,false,Individual,debt_consolidation,Debt consolidation
Maintenance inspection,10+ years,MORTGAGE,80000,Source Verified,OK,8986,125806,Charged Off,26000,OK,26000, 60 months,0.1786,658.26001,D,false,Individual,debt_consolidation,Debt consolidation
Manager ,10+ years,MORTGAGE,76000,Verified,CA,42666,298664,Current,20000,CA,20000, 60 months,0.2089,539.84003,D,false,Individual,small_business,Business
Teacher,10+ years,MORTGAGE,80000,Not Verified,MA,7024,70235,Current,6400,MA,6400, 36 months,0.1524,222.62,C,false,Individual,home_improvement,Home improvement
PRESIDENT,10+ years,MORTGAGE,120000,Verified,TX,36387,473036,Current,40000,TX,40000, 36 months,0.0944,1280.2,B,false,Individual,credit_card,Credit card refinancing
Dental Hygienist,3 years,RENT,75000,Source Verified,TX,6924,62313,Charged Off,16000,TX,16000, 60 months,0.1099,347.79999,B,false,Individual,debt_consolidation,Debt consolidation
Center Manager ,10+ years,MORTGAGE,78834,Verified,NM,12710,177944,Current,32000,NM,32000, 60 months,0.1691,793.73999,C,false,Individual,credit_card,Credit card refinancing
Federal Police Officer,10+ years,MORTGAGE,84000,Verified,MD,18623,260725,Current,15000,MD,15000, 36 months,0.164,530.33002,C,false,Individual,debt_consolidation,Debt consolidation
Estimator,5 years,MORTGAGE,50000,Source Verified,MO,12270,134972,Fully Paid,11000,MO,11000, 36 months,0.0917,350.67001,B,false,Individual,credit_card,Credit card refinancing
Foreman,10+ years,MORTGAGE,55000,Source Verified,WA,31218,218529,Current,14000,WA,14000, 36 months,0.0975,450.10001,B,false,INDIVIDUAL,home_improvement,Home improvement
Process Technician,5 years,MORTGAGE,97000,Not Verified,TX,16921,152286,Fully Paid,19200,TX,19200, 36 months,0.079,600.78003,A,false,INDIVIDUAL,credit_card,Help me consolidate my credit card debt
Banner Engineering,1 year,MORTGAGE,53500,Not Verified,MN,13857,110855,Fully Paid,6000,MN,6000, 36 months,0.079,187.75,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Resource Manger,10+ years,MORTGAGE,113000,Source Verified,WA,21989,373820,Current,10000,WA,10000, 36 months,0.0532,301.14999,A,false,INDIVIDUAL,major_purchase,Major purchase
Bookkeeper,< 1 year,MORTGAGE,31000,Verified,GA,8599,85988,Fully Paid,11125,GA,11125, 60 months,0.2408,320.57001,F,false,INDIVIDUAL,debt_consolidation,Debt consolidation
estimater/sales,10+ years,MORTGAGE,77000,Not Verified,CA,20441,265732,Current,17000,CA,17000, 36 months,0.098,546.95001,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Sales and Marketing,4 years,RENT,65000,Source Verified,CA,2927,35118,Fully Paid,12000,CA,12000, 36 months,0.1167,396.69,B,false,INDIVIDUAL,other,Other
Document Control Specialist ,2 years,RENT,75000,Not Verified,CA,2265,15852,Fully Paid,1850,CA,1850, 36 months,0.0819,58.139999,A,false,Individual,credit_card,Credit card refinancing
Lead Mammography Technologist,4 years,MORTGAGE,78522,Not Verified,TX,10136,172318,Current,17000,TX,17000, 36 months,0.0839,535.78998,B,false,INDIVIDUAL,credit_card,Credit card refinancing
General Manager,6 years,MORTGAGE,68596,Not Verified,NE,29396,264567,Current,21000,NE,21000, 60 months,0.0899,435.82999,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Trip Coordinator,< 1 year,RENT,24000,Not Verified,CA,6310,63100,Current,2200,CA,2200, 36 months,0.0944,70.419998,B,false,Individual,debt_consolidation,Debt consolidation
account executive,9 years,MORTGAGE,50000,Source Verified,FL,2281,20532,Charged Off,8000,FL,8000, 36 months,0.1952,295.35999,D,false,INDIVIDUAL,debt_consolidation,Debt
FDI ,9 years,RENT,40000,Source Verified,CA,1853,16677,Current,10000,CA,10000, 36 months,0.0899,317.95999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Executive Manger,10+ years,MORTGAGE,287000,Not Verified,MA,25620,409912,Current,40000,MA,40000, 36 months,0.0646,1225.24,A,false,Individual,home_improvement,Home improvement
Producer,10+ years,MORTGAGE,60000,Verified,OH,18229,164065,Fully Paid,3800,OH,3800, 36 months,0.0756,118.31,A,false,Joint App,medical,Medical expenses
Manager of hot foods/chef,2 years,RENT,70000,Not Verified,FL,7575,90894,Current,12000,FL,12000, 60 months,0.1099,260.85001,B,false,Individual,credit_card,Credit card refinancing
Director of Operation,10+ years,MORTGAGE,86139,Not Verified,TX,17142,257123,Fully Paid,24000,TX,24000, 60 months,0.1655,590.67999,D,false,Individual,debt_consolidation,Debt consolidation
District manager,10+ years,OWN,117000,Source Verified,MI,2326,41873,Current,9975,MI,9975, 36 months,0.1147,328.79999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Ochsner Health System,2 years,RENT,65000,Not Verified,LA,3745,59926,Fully Paid,15000,LA,15000, 36 months,0.1905,550.21997,D,false,INDIVIDUAL,debt_consolidation,Consolidate Cards... On-time payments!
Deputy Clerk,10+ years,MORTGAGE,39500,Verified,MS,3457,31111,Current,10000,MS,10000, 60 months,0.2089,269.92001,D,false,Joint App,debt_consolidation,Debt consolidation
Food,< 1 year,RENT,34000,Not Verified,AZ,2600,20797,Current,17000,AZ,17000, 36 months,0.0881,539.09998,A,false,Individual,debt_consolidation,Debt consolidation
Forklift driver,10+ years,RENT,56000,Not Verified,WI,10277,143883,Current,4000,WI,4000, 36 months,0.1349,135.73,C,false,INDIVIDUAL,credit_card,Credit card refinancing
CT/MRI Technologist,10+ years,OWN,50000,Not Verified,WA,7264,152548,Current,13200,WA,13200, 36 months,0.0791,413.10001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Corp. Legal Coordinator,10+ years,RENT,55000,Source Verified,TN,4165,58309,Current,30000,TN,30000, 60 months,0.1171,662.95001,B,false,Individual,debt_consolidation,Debt consolidation
Registrar,10+ years,MORTGAGE,125000,Source Verified,NY,15123,378069,Current,16000,NY,16000, 36 months,0.1308,539.71997,B,false,Individual,other,Other
Door Attendant,5 years,MORTGAGE,50000,Source Verified,FL,28323,226583,Current,6500,FL,6500, 36 months,0.0819,204.25999,A,false,Individual,credit_card,Credit card refinancing
Staff Accountant,< 1 year,OWN,45000,Verified,MA,5313,74386,Current,10675,MA,10675, 60 months,0.1709,265.82001,D,false,Individual,debt_consolidation,Debt consolidation
Senior Associate ,2 years,MORTGAGE,72000,Not Verified,NC,15940,286923,Current,25000,NC,25000, 60 months,0.1049,537.22998,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
CFO,7 years,RENT,130000,Verified,OR,3175,22225,Fully Paid,10000,OR,10000, 36 months,0.0967,321.13,B,false,INDIVIDUAL,debt_consolidation,Debt Consolidation
Staff Auditor,< 1 year,RENT,60000,Not Verified,GA,7404,125867,Late (31-120 days),12000,GA,12000, 60 months,0.1042,257.45999,B,false,Individual,debt_consolidation,Debt consolidation
Dental Coordinator,10+ years,MORTGAGE,48000,Source Verified,PA,25060,150360,Fully Paid,13625,PA,13625, 36 months,0.1499,472.25,C,false,Individual,home_improvement,Home improvement
IRSAgent,8 years,MORTGAGE,83000,Not Verified,CA,1249,11243,Current,15000,CA,15000, 36 months,0.2,557.46002,D,false,Individual,debt_consolidation,Debt consolidation
General Laborer,< 1 year,OWN,52000,Source Verified,IN,5406,48658,Current,20000,IN,20000, 60 months,0.2631,602.48999,E,false,Individual,debt_consolidation,Debt consolidation
Xerox Corp.,10+ years,MORTGAGE,50000,Verified,CA,23320,279838,Fully Paid,8500,CA,8500, 36 months,0.0762,264.88,A,false,INDIVIDUAL,debt_consolidation,debt consoladation
Fork Lift Driver,10+ years,MORTGAGE,58000,Source Verified,CO,3999,15996,Current,20000,CO,20000, 60 months,0.1447,470.26001,C,false,Individual,car,Car financing
SMB Specialist,1 year,MORTGAGE,37000,Source Verified,PA,16503,132026,Current,6000,PA,6000, 36 months,0.0881,190.27,A,false,Individual,credit_card,Credit card refinancing
MARKETING ADMINISTRATOR,8 years,MORTGAGE,42000,Not Verified,GA,3739,74771,Fully Paid,12000,GA,12000, 36 months,0.0818,377.04001,B,false,Individual,debt_consolidation,Debt consolidation
Nuclear Security Officer,6 years,RENT,65000,Verified,LA,3360,20158,Current,18500,LA,18500, 36 months,0.1999,687.44,D,false,Individual,debt_consolidation,Debt consolidation
Laborer,< 1 year,OWN,80000,Source Verified,PA,4040,36364,Current,4000,PA,4000, 36 months,0.1557,139.78999,C,false,Individual,credit_card,Credit card refinancing
Cashier,2 years,RENT,43000,Source Verified,NY,2662,31947,Current,17550,NY,17550, 36 months,0.1774,632.19,C,false,Individual,credit_card,Credit card refinancing
Technical Service Engineer,10+ years,MORTGAGE,100000,Not Verified,TX,48027,624347,Current,27425,TX,27425, 60 months,0.1298,623.72998,B,false,Joint App,credit_card,Credit card refinancing
Server,3 years,RENT,60000,Not Verified,CA,7577,90926,Charged Off,26400,CA,26400, 36 months,0.1757,948.73999,D,false,Individual,debt_consolidation,Debt consolidation
Principal,10+ years,MORTGAGE,100000,Not Verified,CT,31972,255779,Fully Paid,12000,CT,12000, 36 months,0.0726,371.95999,A,false,Individual,debt_consolidation,Debt consolidation
Owner,10+ years,MORTGAGE,48000,Source Verified,CA,84960,424801,Charged Off,15000,CA,15000, 36 months,0.1153,494.85999,B,false,Individual,debt_consolidation,Debt consolidation
Teacher/Coach,6 years,MORTGAGE,55000,Not Verified,TX,16170,113189,Fully Paid,10000,TX,10000, 36 months,0.0839,315.17001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Housing Aide,9 years,RENT,50000,Not Verified,NJ,2225,17803,Fully Paid,4200,NJ,4200, 36 months,0.0692,129.53999,A,false,Individual,credit_card,Credit card refinancing
Educator,10+ years,MORTGAGE,58000,Not Verified,AL,38260,229562,Current,10400,AL,10400, 36 months,0.0756,323.79999,A,false,Individual,home_improvement,Home improvement
admissons,6 years,RENT,68000,Not Verified,FL,2001,24010,Current,5000,FL,5000, 36 months,0.1797,180.69,D,false,Individual,debt_consolidation,Debt consolidation
CFO,8 years,MORTGAGE,180000,Verified,GA,31637,474560,Current,32225,GA,32225, 36 months,0.1695,1148.11,C,false,Individual,debt_consolidation,Debt consolidation
Human Resources Coordinator,1 year,MORTGAGE,52000,Verified,WA,23405,280860,Fully Paid,7475,WA,7475, 36 months,0.1786,269.72,D,false,Individual,debt_consolidation,Debt consolidation
Educator,10+ years,MORTGAGE,84000,Not Verified,CA,4031,36282,Fully Paid,17000,CA,17000, 36 months,0.0916,541.87,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Assistant Vice President,2 years,MORTGAGE,209000,Verified,NJ,16029,384704,Current,27950,NJ,27950, 60 months,0.0975,590.42999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Southern Mgmt,10+ years,RENT,80000,Verified,MD,2938,64631,Fully Paid,35000,MD,35000, 60 months,0.2383,1003.43,F,false,INDIVIDUAL,debt_consolidation,Debt Connsolidation
Local Sales Manager,< 1 year,RENT,155000,Source Verified,FL,51142,409135,Current,35000,FL,35000, 36 months,0.1953,1292.36,D,false,INDIVIDUAL,credit_card,Credit card refinancing
Truck Driver,10+ years,MORTGAGE,51000,Verified,NC,10332,175641,Current,17850,NC,17850, 60 months,0.1465,421.38,C,false,Individual,credit_card,Credit card refinancing
Analyst,6 years,MORTGAGE,72000,Not Verified,FL,14310,143097,Fully Paid,2000,FL,2000, 36 months,0.1199,66.419998,B,false,Individual,other,Other
SECRETARY/RECEPTIONIST,4 years,RENT,43000,Not Verified,CA,1231,14769,Current,15000,CA,15000, 36 months,0.0532,451.73001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
"Director, Customer Value Strategy",< 1 year,MORTGAGE,130000,Verified,OH,63063,252251,Fully Paid,35000,OH,35000, 36 months,0.089,1111.37,A,false,INDIVIDUAL,credit_card,"Debt Consolidation, two cards"
Full Time,10+ years,OWN,46000,Source Verified,NJ,3959,19793,Current,3000,NJ,3000, 36 months,0.1399,102.52,C,false,Individual,home_improvement,Home improvement
DiCarlo Seafood,10+ years,RENT,71000,Verified,CA,4023,28159,Current,30000,CA,30000, 60 months,0.2198,828.22998,E,false,INDIVIDUAL,credit_card,Credit card refinancing
Milwright,3 years,MORTGAGE,120000,Verified,AR,19266,250464,Current,35000,AR,35000, 60 months,0.1797,888.20001,D,false,Individual,debt_consolidation,Debt consolidation
Assistant Mgr.,10+ years,MORTGAGE,70000,Verified,CA,3155,78887,Fully Paid,12800,CA,12800, 60 months,0.1465,302.17001,C,false,Individual,debt_consolidation,Debt consolidation
Family Reunification Specialist,2 years,RENT,39000,Verified,IL,1393,20901,Current,8000,IL,8000, 36 months,0.1099,261.88,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Director,7 years,MORTGAGE,100234,Source Verified,MO,16034,208436,Fully Paid,13000,MO,13000, 36 months,0.1299,437.95999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
engineering manager,1 year,RENT,145000,Verified,CA,3944,31554,Current,35000,CA,35000, 36 months,0.1999,1300.55,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Driver,10+ years,MORTGAGE,60000,Source Verified,GA,13074,104589,Current,16000,GA,16000, 36 months,0.1171,529.21997,B,false,Individual,debt_consolidation,Debt consolidation
Driver,10+ years,MORTGAGE,93000,Source Verified,TX,30358,242864,Fully Paid,16000,TX,16000, 60 months,0.1699,397.56,D,false,Individual,debt_consolidation,Debt consolidation
Report Analyst ,3 years,MORTGAGE,75000,Verified,PA,57638,288192,Current,19425,PA,19425, 36 months,0.1953,717.26001,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
"Habilitation Specialist 3, CMA, CNA ",10+ years,OWN,45000,Not Verified,OK,1864,27963,Current,10000,OK,10000, 36 months,0.1349,339.31,C,false,INDIVIDUAL,credit_card,Credit card refinancing
 Immigration Enforcement Agent,6 years,RENT,96000,Verified,CA,9846,118153,Fully Paid,30000,CA,30000, 36 months,0.1599,1054.5699,D,false,Individual,debt_consolidation,Debt consolidation
construction manager,< 1 year,RENT,63000,Not Verified,WA,3523,45793,Current,29975,WA,29975, 36 months,0.1306,1010.85,C,false,Joint App,credit_card,Credit card refinancing
Orthopedic case manager,1 year,MORTGAGE,90000,Verified,IL,84744,423718,Fully Paid,9000,IL,9000, 36 months,0.0532,271.04001,A,false,Individual,credit_card,Credit card refinancing
Project Executive,3 years,MORTGAGE,95000,Verified,NY,24294,340116,Current,15000,NY,15000, 36 months,0.1699,534.71997,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Resource Management Director,10+ years,RENT,92000,Source Verified,CA,7913,63300,Current,17000,CA,17000, 60 months,0.1824,433.92001,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Student Technology Tutor,3 years,MORTGAGE,35000,Not Verified,PA,34671,242699,Charged Off,14400,PA,14400, 60 months,0.1999,381.44,E,false,INDIVIDUAL,moving,Moving and relocation
IT Project Manager,9 years,MORTGAGE,64089,Not Verified,TX,21290,255480,Current,14400,TX,14400, 36 months,0.0749,447.87,A,false,INDIVIDUAL,home_improvement,Home improvement
Academic Clinical Coordinator of Educati,< 1 year,MORTGAGE,80000,Verified,OH,36765,330883,Current,36000,OH,36000, 60 months,0.1075,778.25,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Production Operator,< 1 year,RENT,24000,Not Verified,TN,2029,6086,Current,5000,TN,5000, 36 months,0.1447,172.03999,C,false,Individual,debt_consolidation,Debt consolidation
Associate Service Technician,1 year,MORTGAGE,57000,Source Verified,TX,24930,224373,Current,19000,TX,19000, 60 months,0.2437,550.67999,E,false,Individual,debt_consolidation,Debt consolidation
MEDICAL RECORDS,10+ years,RENT,22000,Not Verified,OH,3091,27823,Current,5500,OH,5500, 36 months,0.1049,178.74001,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Resident Care Director,8 years,MORTGAGE,80000,Not Verified,LA,9093,127306,Current,11000,LA,11000, 36 months,0.143,377.56,C,false,Joint App,other,Other
"Associate Director, SMLC",6 years,RENT,70000,Source Verified,VA,10746,150442,Current,10500,VA,10500, 60 months,0.1049,225.64,B,false,INDIVIDUAL,other,Other
Food Service Supervisor ,6 years,RENT,65416,Not Verified,AK,4491,53896,Fully Paid,10500,AK,10500, 60 months,0.1274,237.52,C,false,Individual,house,Home buying
"VP, HR",10+ years,MORTGAGE,200000,Verified,CO,18709,261926,Fully Paid,12800,CO,12800, 36 months,0.1199,425.09,C,false,INDIVIDUAL,major_purchase,Major purchase
Account Resolution Team Lead,4 years,RENT,47000,Source Verified,AZ,684,6158,Current,10525,AZ,10525, 36 months,0.1033,341.25,B,false,Individual,debt_consolidation,Debt consolidation
Lead Sales Associate,10+ years,RENT,64000,Not Verified,DE,5078,30470,Current,30500,DE,30500, 60 months,0.0819,621.21002,A,false,Individual,debt_consolidation,Debt consolidation
Squad leader,10+ years,RENT,45000,Verified,LA,4674,32716,Fully Paid,8000,LA,8000, 36 months,0.2549,320.16,E,false,Individual,other,Other
Vice President,6 years,MORTGAGE,130000,Not Verified,FL,17291,311236,Fully Paid,10000,FL,10000, 60 months,0.2969,321.64001,F,false,Individual,debt_consolidation,Debt consolidation
Turner Broadcasting,10+ years,MORTGAGE,130000,Verified,NJ,38689,464273,Fully Paid,20000,NJ,20000, 36 months,0.1368,680.45001,C,false,INDIVIDUAL,credit_card,Credit Card Consolidation
Director,4 years,MORTGAGE,138000,Source Verified,TX,25555,281101,Current,35000,TX,35000, 60 months,0.124,785.65002,B,false,Individual,debt_consolidation,Debt consolidation
Medicala Technican,2 years,RENT,40000,Not Verified,NH,3704,33336,Fully Paid,5325,NH,5325, 36 months,0.1629,187.98,D,false,INDIVIDUAL,credit_card,Credit card refinancing
INK TECH,10+ years,RENT,32000,Not Verified,SD,1389,12498,Fully Paid,12250,SD,12250, 36 months,0.1269,410.92999,C,false,Individual,debt_consolidation,Debt consolidation
Systems Administrator,10+ years,RENT,109000,Verified,CA,3586,75306,Current,21000,CA,21000, 60 months,0.1499,499.48001,C,false,Individual,debt_consolidation,Debt consolidation
Maintence,10+ years,OWN,76416,Not Verified,NJ,17518,175182,Fully Paid,15000,NJ,15000, 36 months,0.1299,505.34,B,false,INDIVIDUAL,debt_consolidation,get going 
Owner / Operater,8 years,MORTGAGE,89000,Source Verified,VA,26960,485288,Current,13175,VA,13175, 36 months,0.1149,434.39999,B,false,Individual,debt_consolidation,Debt consolidation
Nurse Practitioner,< 1 year,RENT,95000,Source Verified,KS,5226,47033,Charged Off,15600,KS,15600, 60 months,0.1999,413.22,D,false,Individual,debt_consolidation,Debt consolidation
"table gaming, dual supervisor",10+ years,RENT,78000,Source Verified,MN,24778,99111,Charged Off,8000,MN,8000, 36 months,0.2245,307.39001,E,false,INDIVIDUAL,other,Other
pipefitters local 597,10+ years,MORTGAGE,165000,Verified,IN,40045,360403,Current,24000,IN,24000, 60 months,0.1016,511.82999,B,false,INDIVIDUAL,credit_card,credit card payoff
Office Manager,8 years,RENT,51690,Source Verified,HI,2880,23043,Fully Paid,10000,HI,10000, 60 months,0.231,282.48001,E,false,INDIVIDUAL,debt_consolidation,Home Improvements/Debt Consolidation
Supervisor,10+ years,RENT,42000,Source Verified,OH,2603,13013,Current,14400,OH,14400, 60 months,0.1655,354.41,D,false,Individual,debt_consolidation,Debt consolidation
rrt,6 years,MORTGAGE,43000,Source Verified,AR,4703,145789,Current,7200,AR,7200, 36 months,0.1147,237.33,B,false,DIRECT_PAY,debt_consolidation,Debt consolidation
Divisional Manager,8 years,MORTGAGE,96500,Source Verified,TX,6690,173950,Fully Paid,24000,TX,24000, 36 months,0.1399,820.15002,C,false,Individual,debt_consolidation,Debt consolidation
Project Manager,3 years,MORTGAGE,125000,Not Verified,MD,26670,506736,Current,36000,MD,36000, 36 months,0.1091,1177.0699,B,false,Individual,debt_consolidation,Debt consolidation
Senior Manager,3 years,MORTGAGE,182500,Not Verified,WA,47355,615613,Current,13275,WA,13275, 60 months,0.124,297.98999,B,false,Individual,debt_consolidation,Debt consolidation
Executive ,6 years,OWN,480000,Source Verified,CA,20664,206643,Current,25750,CA,25750, 36 months,0.1799,930.79999,D,false,INDIVIDUAL,credit_card,Credit card refinancing
Technical customer service,2 years,MORTGAGE,41000,Source Verified,FL,34837,209023,Current,25000,FL,25000, 36 months,0.1047,812.21002,B,false,Individual,debt_consolidation,Debt consolidation
Elementary School Principal,10+ years,RENT,119532,Not Verified,CA,4132,53722,Current,15000,CA,15000, 36 months,0.1171,496.14001,B,false,Individual,debt_consolidation,Debt consolidation
Sales ,10+ years,RENT,99000,Source Verified,NJ,1495,38879,Current,4700,NJ,4700, 36 months,0.1308,158.55,B,false,Individual,debt_consolidation,Debt consolidation
Store Cash Analyst,8 years,MORTGAGE,43000,Verified,OK,19734,157868,Current,21000,OK,21000, 36 months,0.164,742.46002,C,false,Joint App,credit_card,Credit card refinancing
Director,10+ years,RENT,50000,Source Verified,IL,2554,33198,Fully Paid,12675,IL,12675, 36 months,0.1167,419,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Custodian ,10+ years,RENT,45000,Not Verified,NJ,1917,36423,Current,10000,NJ,10000, 36 months,0.1049,324.98001,B,false,Individual,other,Other
ERSE 4,10+ years,RENT,70000,Source Verified,NY,2110,23208,Current,18000,NY,18000, 36 months,0.143,617.83002,C,false,Individual,debt_consolidation,Debt consolidation
General manager,10+ years,MORTGAGE,45000,Source Verified,AL,20576,102882,Fully Paid,22500,AL,22500, 60 months,0.1786,569.64001,D,false,Individual,other,Other
VP of Advancement,3 years,MORTGAGE,300000,Source Verified,GA,38680,502845,Current,24000,GA,24000, 36 months,0.0532,722.76001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Business Analyst II,8 years,RENT,75300,Source Verified,MA,5588,33528,Fully Paid,14400,MA,14400, 36 months,0.0532,433.66,A,false,Individual,credit_card,Credit card refinancing
Strategic Planner,10+ years,MORTGAGE,140000,Source Verified,FL,8584,34336,Current,40000,FL,40000, 60 months,0.1614,975.71002,C,false,Individual,credit_card,Credit card refinancing
Administrator,10+ years,MORTGAGE,120000,Not Verified,MI,22832,205485,Fully Paid,25000,MI,25000, 36 months,0.0689,770.67999,A,false,Individual,debt_consolidation,Debt consolidation
Mental Health Therapist,< 1 year,RENT,156000,Source Verified,OR,18452,276786,Current,19200,OR,19200, 60 months,0.1612,468.14001,C,false,Individual,car,Car financing
Correction Officer,9 years,MORTGAGE,75000,Source Verified,NY,20688,289636,Fully Paid,26050,NY,26050, 60 months,0.1431,610.34003,C,false,INDIVIDUAL,other,Other
Engineering ,2 years,RENT,81000,Not Verified,OH,4006,96152,Current,19000,OH,19000, 36 months,0.1102,622.21997,B,false,Individual,debt_consolidation,Debt consolidation
Ansul Installer ,3 years,RENT,40000,Not Verified,CA,1804,18035,Current,3000,CA,3000, 36 months,0.143,102.98,C,false,Individual,major_purchase,Major purchase
National Accounts Manager,8 years,RENT,96000,Source Verified,NY,6871,61840,Current,35000,NY,35000, 60 months,0.1465,826.23999,C,false,Individual,debt_consolidation,Debt consolidation
Paralegal,3 years,MORTGAGE,108000,Source Verified,MD,20176,302642,Fully Paid,20000,MD,20000, 60 months,0.1825,510.60001,E,false,Individual,debt_consolidation,Debt consolidation
Team Lead Paint,6 years,MORTGAGE,56000,Source Verified,TX,8584,60086,Fully Paid,10975,TX,10975, 36 months,0.1299,369.73999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Finance Director,5 years,MORTGAGE,65520,Not Verified,OH,11366,136386,Current,15000,OH,15000, 60 months,0.0999,318.64001,B,false,Individual,debt_consolidation,Debt consolidation
Inventory Analyst ,3 years,RENT,74000,Verified,CA,11586,104274,Charged Off,20000,CA,20000, 60 months,0.2199,552.27002,F,false,Individual,debt_consolidation,Debt consolidation
Senior Business Analyst,10+ years,RENT,82000,Source Verified,CA,5425,86800,Current,25000,CA,25000, 60 months,0.1449,588.08002,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Technician,10+ years,MORTGAGE,40000,Not Verified,TN,12311,123110,Current,10000,TN,10000, 36 months,0.0993,322.35001,B,false,Individual,other,Other
Maintenence technician ,6 years,MORTGAGE,50000,Verified,GA,3356,33558,Current,20000,GA,20000, 60 months,0.1446,470.14999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Sales Manager,10+ years,RENT,84000,Verified,OR,6846,41077,Charged Off,24000,OR,24000, 60 months,0.1167,529.88,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Officer,10+ years,MORTGAGE,94000,Not Verified,IN,13893,138929,Fully Paid,14000,IN,14000, 60 months,0.1499,332.98999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Accountant,10+ years,OWN,70000,Source Verified,CA,31395,345346,Fully Paid,9300,CA,9300, 36 months,0.1825,337.39001,E,false,Individual,credit_card,Credit card refinancing
